,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,15.1453958,,,,2.317443396,,4.479985664,8.793914611,6.478082488,4.252785575,10.50994241,8.344633358,6.231823847,8.289640022,6.206040546,8.253378727,4.111165927,6.138735421,10.18018935,4.05120726,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.51164351,12.19002986,12.28287499,12.15626027,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.089788504,10.97762321,6.423907213,15.1939412,15.96637116,75.25878746,36.8443964,29.69340133,7.451818938,11.41107745,11.1817534,9.207278703,7.161281,8.569725672,4.679210851,5.315333819,4.90417312,5.21544467,7.272394261,8.104027845,8.886109248,6.788281981,7.064761445,3.262075115,4.216115353,3.062082706,3.473224842,3.545168515,3.550181128,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2.34315874,0,0,0,0,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.766945469,0.543335377,0.775068456,0.581933977,0.680256359,0.76955899,,,,0.635454896,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.67269756,,8.912314358,9.18560483,8.653285513,9.26112966,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05066972,9.230387494,,13.30771068,8.477211534,6.358369347,6.084636627,5.310855185,5.302956176,4.874151381,4.521259145,4.862200697,3.468352098,4.592955836,4.323306805,3.352664655,3.812357216,4.649483435,5.183545361,5.32515626,3.416642465,3.862185343,3.404242723,3.237057838,3.801447474,3.926321844,4.996328785,4.258814664,2.808584186,4.528240046,2.582965201,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.260834121,3.213574137,12.63862997,12.41966032,15.24994663,5.994125757,2.945247843,,,,17.14677641,10.17528626,,,,,,27.006457,,,,,,,8.883361464,15.37853157,39.14234767,19.38861242,4.268852319,16.92441135,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.791220382,2.300144851,2.123341932,2.448515492,2.316006013,2.415677782,2.663878006,2.646446946,2.457258543,2.790817002,2.385107921,2.411581048,2.529357198,2.100338307,1.718607581,1.634901001,1.835681341,1.623587502,1.500351879,1.717693979,1.23972892,1.40242072,1.398546264,1.301160264,1.266428618,1.269666585,1.216345298,1.176120635,1.088764642,1.242898053,1.181230251,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32969891,1.508478491,1.443183632,1.192926975,0.928967051,1.035358819,1.250625716,0.738081007,1.107587211,0.723108052,0.725835911,0.716677369,0.691371174,0.669514607,0.678219278,0.74328158,0.790927341,0.513517756,0.714254224,0.560650025,0.683153103,0.97021983,0.988024897,0.765623321,0.522236597,0.682568794,0.536368589,0.762090919,0.960671042,0.839120239,0.630674522,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.217812379,2.998382417,3.131367386,3.238531577,3.152581785,2.902780049,2.021064024,2.160007662,2.659546604,2.153181305,2.981441612,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.960974005,9.481641531,7.613201649,9.855142874,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.555613115,3.54513918,3.67973221,2.658076503,2.753645324,2.489328007,2.556027457,2.354588661,2.487308864,2.115871327,2.225229512,2.249307163,2.346634139,1.939598174,2.339606554,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99630303,6.536290682,8.474094892,9.468896291,9.464278994,10.13668844,8.754723359,7.568588499,7.081580155,6.077049217,6.02124063,6.372176106,5.178599902,5.136599683,4.957573936,3.929796196,3.554422927,3.769114358,3.712760129,3.16018627,3.346579519,2.727681373,2.912868268,2.113890203,2.439607654,2.770135314,1.6392462,1.969905065,1.576141192,1.764677855,1.274405986,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129190454,1.130600713,0.744389167,0.616242425,0.972597077,0.944782204,1.014727072,0.42559983,0.60061503,0.189609944,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5892679,34.00413909,24.07903703,31.10755983,27.72882117,,,39.64563841,25.70861755,26.59259554,28.91940032,27.11024186,27.88816844,34.84775885,42.76402202,39.60372275,45.44113308,46.50973507,63.69390203,57.30366403,,62.84411323,71.58274966,56.68285398,62.57282182,46.97793105,47.03271152,32.44493519,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.578613792,,,,,,,,,,4.289722422,2.873781354,3.520280063,,,,,,,3.052103772,2.528115669,1.947301569,2.204327604,1.841153344,2.283686573,2.319574293,1.807530534,1.948520099,1.903738389,1.979219433,2.365230121,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.679482579,8.387267174,6.586984665,6.050599911,5.849181149,4.887999709,5.248268186,5.105190862,4.780973365,4.572391536,3.319413773,3.22755147,3.136425652,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.73367557,,,,,55.85599309,69.96615591,67.83151137,77.552881,51.53475121,62.90840876,61.06531213,66.93804693,69.94276439,64.99019906,60.22204951,46.01513949,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44904051,10.28265453,0,,,,10.00936898,,,,,,,,0,6.453248526,,,,16.34060917,23.0009736,19.83139978,19.95758448,16.73942093,10.1062825,13.55741098,27.23570751,17.11227613,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11744091,,,,,,,7.87049341,7.396293591,8.697218864,5.946157283,8.685705664,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.35455581,34.02948484,31.01482018,32.8717531,34.42263388,38.48884161,43.06343303,44.47381523,45.62591698,46.06254693,48.04714127,50.20936526,51.52800795,52.3678019,48.94345225,47.47500742,48.48835718,46.758,48.56829645,49.2617948,49.49124354,48.92941315,52.52578511,52.47495919,54.86514187,53.11774235,55.65785425,57.46727974,49.84065486,38.81883093,41.92049769,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.32099985,9.517841988,14.22205366,12.59574736,10.98168412,9.378223764,,,,,11.4984822,15.68809342,13.32612453,16.7000668,15.97942044,14.958691,25.13968031,14.2087945,14.14795785,11.86468329,16.98846262,18.39899321,14.66920933,12.42971726,16.03860931,20.35653008,14.50305289,20.25712074,17.32539253,30.97692579,27.32161859,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.790367413,3.729140122,2.449149533,1.205698129,1.185185185,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.604044602,1.284653529,2.281374604,1.750831645,1.481364435,3.413909731,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.79319079,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.082760676,3.454937462,3.538129631,3.013195036,2.738543515,2.743670561,2.926700532,2.631507745,2.512186049,2.479802106,2.620061168,2.56029278,2.427288942,2.515655473,2.695028256,3.035349784,2.764444704,2.638957491,2.823937191,2.675909225,2.371190386,2.491980433,2.257200426,2.045126341,2.097808423,2.418252703,2.549593049,2.700599665,2.680495632,2.83889849,3.032215474,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81334172,1.670398398,1.52678405,1.833007786,1.1553505,1.23534787,1.505203595,1.385955821,1.338668082,1.478632886,0.86706019,1.405067286,1.039734815,0.944931167,1.10485983,1.037057522,0.610942702,0.674384583,0.771463608,0.632641952,0.676203564,0.590042847,0.708451651,0.624026986,0.418925889,0.657544015,0.48191575,0.596668395,0.520538559,0.469410732,0.46580437,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.191231182,6.200572491,6.208194571,5.898561286,6.385576805,5.299511099,6.143105107,4.636296008,5.180970849,4.290704252,6.031390416,5.911709401,7.39783838,7.921186041,7.022220833,8.646601106,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06789236,1.305743208,1.413372832,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.8741835,158.7822842,153.7676442,152.4965871,142.6472714,115.4790072,118.6610909,115.9024286,113.5097486,117.9594024,126.7027594,129.8776794,130.5120528,105.8643071,90.107417,79.51259197,76.30916074,73.7746907,68.60317155,66.38290033,64.22933062,66.05398862,66.6799114,62.31021267,52.89611096,50.29889714,48.11553011,46.51922601,47.29434183,44.65226327,42.44620799,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.30725844,18.09229006,18.31937293,19.24416613,14.82495153,,11.86829163,9.52848651,10.14360446,9.673362783,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.076181586,6.650754465,8.177967435,8.291986693,9.038792707,8.821454522,9.34315505,10.19721455,10.3005954,10.91005172,10.49484369,11.29201627,10.89405295,12.5566037,11.38571649,12.74267706,14.04807748,15.03962397,20.21096311,20.57532312,20.32471568,17.67076097,15.20938466,15.79739566,17.75062127,21.2324729,20.89251008,22.01811141,20.76640436,20.41593807,19.96011121,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.244121055,11.45876142,12.71895966,11.8037118,10.34831023,10.6368524,11.45152114,8.138747928,7.78785592,8.014641996,8.527218577,8.736289475,9.165188617,9.192592837,7.894576925,7.655239423,7.060990512,7.375221369,6.787713629,7.194746761,8.63046956,9.396641138,7.900790275,8.52916352,8.00791203,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.06826535,54.44017355,67.95730292,56.25320561,32.78742274,24.17678062,36.20792796,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.343713379,3.45838601,2.081661696,1.866089423,1.289450271,2.184133363,1.259940027,0.534418321,2.999606522,1.573963152,1.040451001,2.064001238,1.365117827,1.185333697,1.5126686,0.834310868,1.822658629,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.467428749,2.343700122,2.338415006,2.458169969,2.496364229,2.20405799,2.836868664,1.761109851,1.624018146,2.107773469,1.68790213,1.260867982,1.513118639,1.4031554,1.371890243,1.089155762,0.966834483,0.809272568,1.09645727,0.749825089,0.691861841,0.748707041,0.555657852,0.688071422,,1.102529964,0.720717713,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.439223782,1.749652758,1.77884927,2.031577495,3.240378807,3.403440825,3.177368622,2.906029551,2.52176577,2.045282917,2.066068428,1.735695364,1.755385342,1.531568207,1.640343954,1.494728161,1.370662412,1.252364656,1.169175278,1.052237299,1.009621338,1.008655169,0.913493201,0.88807946,0.94190434,0.882545039,1.220829768,1.06289686,1.026496783,0.841230169,1.026175665,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.630961352,0.98295787,1.175372652,1.756018754,1.942780453,1.547351669,1.618803026,1.763046544,1.062973855,0.890793996,0.983769692,1.240586015,1.240803018,1.387321903,0.971847085,1.303379439,0.667339691,0.811551177,1.350810667,1.203958177,0.725614895,1.118491552,1.112351443,1.249196945,1.527055337,1.365343665,1.161807787,1.789002266,1.328535223,1.359040336,1.319737261,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.63337355,42.35392513,41.23793698,46.42736176,45.63843802,46.5241565,46.31768324,41.51427693,,31.87649439,,27.79197915,19.49345914,17.2415578,16.4175828,15.37409246,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.033300739,0.882836393,2.500739222,2.337532635,,,,2.20233267,2.247920538,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.72194685,19.79869083,15.90970801,15.33058083,18.58046173,,,,,,26.52464612,23.29471643,26.08953762,26.15967963,31.84909425,28.20059109,30.67709921,28.513749,32.86136867,31.72649535,31.74053133,27.42432184,21.82071195,18.71568685,14.07448785,10.81952478,9.462957187,9.21534109,10.01497801,11.9325879,13.67887199,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72193021,1.204799512,1.044006982,1.309165248,2.130252526,1.754664045,3.927645216,5.554208241,4.454339823,,,,,,,,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189241164,2.084669295,1.982952506,1.557424236,1.790549521,1.433086259,1.402784799,1.229154873,1.196974517,1.054972484,1.106819602,1.031286752,0.781761327,0.849845701,0.789832853,0.790813422,0.847309056,0.750182181,0.9015425,0.778994547,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.56982245,32.22844426,25.37080586,21.2544702,23.75955949,17.76865159,17.9923235,16.51459754,17.0420379,16.78137959,11.8490413,13.41622277,10.55591999,12.29214983,10.76669444,7.782758743,8.639192657,8.24383652,7.457339157,5.525400592,5.205977764,5.572874036,3.888869084,3.386157389,3.688013315,3.191696482,5.091844139,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.701734734,4.759359013,4.119650456,3.651562592,4.022852116,3.904851082,4.279200449,4.092794369,3.230394294,4.412696852,4.036038666,4.267329336,3.467195491,2.84964688,4.4844116,3.263395656,3.172819615,3.120519069,3.41293002,3.282040635,3.455699265,2.758081841,1.804173504,2.430834348,2.270597107,2.446605613,1.920914473,1.362842935,2.278165474,2.126715581,,
